x(m),y(m),z(m),Serving_PCI,Serving_RSRP(dBm),Serving_SINR(dB),Detected_PCI,Detected_RSRP(dBm),Detected_SINR(dB)
-181.82,1835.95,75,1,-80.26,21.89,,,
-180.88,1842.12,75,1,-78.45,23.14,,,
-179.55,1851.16,75,1,-76.01,26.5,,,
-178.15,1862.47,75,1,-79.97,21.98,,,
-144.9,1865.19,75,1,-82.65,3.48,,,
-135.72,1866.54,75,3,-81.5,17.0,,,
-122.31,1868.33,75,3,-80.75,10.02,,,
-107.09,1870.4,75,3,-80.79,10.55,,,
-91.23,1872.54,75,3,-82.33,4.24,,,
-74.92,1874.78,75,1,-81.07,4.7,,,
-177.21,1875.41,75,1,-79.63,24.22,,,
-58.38,1877.05,75,1,-82.22,5.06,,,
-41.69,1879.32,75,1,-83.4,3.93,,,
-24.97,1881.61,75,8,-85.72,2.75,,,
-8.22,1883.9,75,1,-83.52,5.99,,,
8.51,1886.18,75,1,-83.86,4.38,,,
25.22,1888.46,75,1,-85.16,3.87,,,
-176.67,1889.47,75,1,-80.11,21.54,,,
41.88,1890.75,75,1,-85.88,4.44,,,
58.49,1893.02,75,1,-85.02,5.55,,,
75.02,1895.29,75,2,-85.75,4.13,,,
91.45,1897.55,75,3,-84.58,9.85,,,
107.73,1899.79,75,3,-82.97,11.46,,,
123.81,1902.0,75,3,-82.87,11.1,,,
139.59,1904.18,75,3,-82.3,12.69,,,
-176.18,1904.28,75,1,-80.15,19.02,,,
154.99,1906.31,75,3,-84.72,8.46,,,
169.81,1908.39,75,3,-84.75,9.71,,,
183.78,1910.41,75,3,-83.16,8.33,,,
196.6,1912.32,75,3,-83.5,10.82,,,
207.94,1914.0,75,3,-84.86,8.06,,,
218.2,1915.42,75,3,-82.06,14.75,,,
228.25,1916.84,75,3,-81.65,11.06,,,
238.52,1918.3,75,3,-81.0,13.15,,,
-175.71,1919.49,75,1,-79.76,17.77,,,
249.16,1919.81,75,3,-79.9,12.18,,,
260.26,1921.39,75,3,-80.5,12.71,,,
284.74,1924.84,75,3,-84.79,6.1,,,
299.05,1926.79,75,1,-86.61,3.61,,,
314.73,1928.91,75,1,-85.22,4.71,,,
347.28,1933.22,75,2,-85.86,9.23,,,
-175.23,1934.72,75,1,-75.51,12.26,,,
363.74,1935.36,75,2,-88.73,8.3,,,
380.17,1937.61,75,2,-85.07,12.59,,,
396.4,1939.84,75,2,-84.98,-0.47,,,
412.57,1942.01,75,2,-86.08,-2.29,,,
428.79,1944.16,75,2,-85.61,1.33,,,
445.11,1946.44,75,2,-83.27,13.28,,,
461.51,1949.6,75,2,-86.41,9.44,,,
-174.73,1949.85,75,1,-75.59,11.23,,,
477.9,1953.49,75,8,-87.08,9.88,,,
494.25,1957.36,75,8,-85.57,9.33,,,
510.55,1961.19,75,8,-87.11,9.44,,,
-174.31,1964.97,75,1,-77.34,4.4,,,
526.78,1965.01,75,2,-87.22,8.65,,,
542.89,1968.79,75,8,-84.86,9.19,,,
558.84,1972.52,75,2,-84.16,9.11,,,
574.71,1976.24,75,2,-82.68,8.69,,,
590.65,1980.01,75,2,-81.97,11.23,,,
-173.95,1980.29,75,8,-75.93,4.01,,,
606.86,1983.85,75,2,-82.36,9.51,,,
623.24,1987.74,75,2,-83.04,9.79,,,
639.65,1991.64,75,2,-80.47,13.63,,,
656.03,1995.54,75,2,-81.0,12.68,,,
-173.47,1996.13,75,1,-76.55,5.32,,,
672.41,1999.44,75,2,-80.77,12.72,,,
688.78,2003.31,75,2,-80.59,10.63,,,
705.12,2007.2,75,2,-79.61,13.42,,,
721.38,2011.3,75,2,-80.01,10.79,,,
-172.89,2012.44,75,1,-77.45,3.72,,,
737.57,2015.65,75,2,-82.18,9.9,,,
753.71,2020.04,75,2,-82.23,11.0,,,
769.79,2024.4,75,2,-80.55,13.34,,,
785.79,2028.75,75,2,-83.72,11.09,,,
-172.26,2029.06,75,1,-77.83,3.62,,,
801.69,2033.06,75,2,-83.4,12.05,,,
817.44,2037.33,75,2,-84.69,11.38,,,
832.97,2041.54,75,2,-83.61,10.55,,,
848.19,2045.67,75,8,-84.63,8.04,,,
-171.63,2045.82,75,1,-78.08,5.12,,,
862.95,2049.69,75,2,-83.86,9.02,,,
877.11,2053.6,75,2,-83.18,5.86,,,
890.57,2057.4,75,2,-82.22,9.27,,,
903.43,2061.05,75,2,-81.65,9.23,,,
-170.98,2062.65,75,1,-76.98,8.3,,,
916.34,2064.67,75,2,-86.93,6.05,,,
930.49,2068.58,75,2,-86.37,6.82,,,
946.23,2072.99,75,2,-87.02,11.17,,,
960.68,2076.84,75,13,-87.8,6.83,,,
-170.33,2079.49,75,1,-77.41,7.76,,,
970.79,2079.56,75,2,-88.29,5.11,,,
976.13,2081.06,75,11,-90.93,3.44,,,
978.95,2081.83,75,2,-88.75,10.77,,,
980.22,2082.15,75,2,-84.63,18.71,,,
980.25,2082.18,75,2,-82.65,20.0,,,
980.22,2082.21,75,2,-85.47,15.67,,,
980.28,2082.22,75,2,-81.23,18.92,,,
980.24,2082.24,75,2,-85.2,9.19,,,
980.28,2082.32,75,2,-80.47,19.44,,,
980.25,2082.35,75,2,-87.05,12.64,,,
980.28,2082.35,75,2,-82.8,21.54,,,
980.3,2082.36,75,2,-85.23,15.84,,,
