x(m),y(m),z(m),Serving_PCI,Serving_RSRP(dBm),Serving_SINR(dB),Detected_PCI,Detected_RSRP(dBm),Detected_SINR(dB)
-186.94,1865.73,75,1,-92.75,7.38,5;2;6;8;12,-92.25;-97.0;-99.0;-104.38;-106.63,9.5;8.13;-4.63;-0.88;-5.88
-187.25,1878.71,75,1,-92.13,7.5,5;2;6;8;12,-93.5;-96.75;-100.13;-103.0;-106.0,7.75;7.88;-3.38;0.38;-5.75
-186.98,1893.24,75,1,-92.63,7.0,5;2;6;10;8;12,-93.0;-95.88;-99.75;-101.38;-102.75;-104.75,7.5;9.13;-3.38;-6.0;1.0;-7.13
-186.84,1907.36,75,1,-92.25,6.13,5;2;8;10;6;12,-91.13;-94.0;-98.75;-99.88;-100.25;-104.88,8.5;6.25;1.75;-5.75;-3.88;-6.75
-186.29,1921.9,75,1,-98.63,5.25,2;8;5;10;6;12,-93.25;-95.75;-95.88;-100.38;-102.63;-106.25,8.13;5.38;6.88;-2.13;-3.13;-7.13
-192.81,2004.32,75,1,-93.88,9.5,5;2;8;6;10;12,-94.13;-97.5;-99.25;-100.63;-102.13;-102.75,7.88;2.63;0.13;-1.38;-3.13;-3.63
-192.85,2022.85,75,1,-93.75,10.75,2;8;5;6;12;10,-93.88;-96.88;-97.5;-101.88;-103.13;-103.38,5.25;2.0;3.25;-3.25;-5.0;-5.75
-191.46,2037.06,75,1,-94.0,10.25,2;8;5;6,-92.88;-96.38;-97.25;-101.38,7.25;4.0;2.13;-5.75
-186.84,2054.33,75,2,-92.88,8.0,1;5;8;6,-93.88;-97.25;-97.5;-100.88,8.13;0.88;1.63;-3.38
-184.57,2071.96,75,2,-93.13,7.25,1;8;5;6;12,-95.63;-96.63;-99.5;-100.25;-105.25,5.75;1.63;-1.5;-1.38;-7.0
-183.9,2090.18,75,2,-91.25,11.0,1;5;8;6;12,-95.0;-96.75;-98.0;-99.13;-103.88,6.13;2.13;0.25;0.88;-5.75
-183.86,2107.12,75,2,-92.25,9.88,5;1;6;8;12;10,-95.13;-95.75;-99.25;-100.0;-100.0;-100.88,3.25;4.63;1.63;-1.5;-1.5;-5.0
-184.19,2122.56,75,2,-91.75,9.88,1;5;8;10;6;12,-95.38;-95.38;-98.13;-101.25;-101.63;-103.0,6.13;4.13;2.25;-4.5;-1.0;-4.38
-184.48,2137.02,75,2,-92.5,7.38,8;1;5;10;12;6,-95.13;-95.63;-96.38;-101.63;-103.25;-104.38,4.63;5.75;3.0;-4.0;-3.88;-3.75
-184.59,2151.22,75,2,-91.0,8.88,1;8;5;10;6;12,-95.63;-96.38;-97.0;-101.63;-104.63;-105.0,6.13;4.0;2.25;-6.75;-4.88;-6.0
-185.01,2165.88,75,2,-89.63,12.25,1;8;5;10,-95.0;-96.5;-98.5;-98.5,5.63;4.0;-0.5;-7.5
-185.95,2180.57,75,2,-90.75,9.25,8;1;5;10,-94.75;-95.25;-97.38;-98.38,6.0;5.5;0.25;-7.38
-186.79,2195.72,75,2,-91.38,9.38,8;1;5;12;6;10,-95.13;-96.75;-99.13;-106.75;-107.13;-114.5,3.5;4.63;-1.25;-6.75;-6.38;-11.25
-188.34,2209.81,75,2,-93.63,7.0,8;1;5;10;6;12,-95.5;-96.38;-98.88;-100.38;-106.75;-107.13,3.13;5.38;-0.38;-3.5;-4.63;-7.5
-190.04,2224.61,75,2,-93.63,7.38,1;8;5;10;6,-96.13;-97.25;-99.88;-100.13;-106.38,6.25;1.88;0.25;0.13;-4.13
-190.79,2239.35,75,2,-93.75,10.38,8;1;5;10;6,-94.75;-96.25;-98.75;-100.0;-105.13,5.5;4.25;1.13;0.63;-4.13
-192.12,2254.66,75,2,-92.63,9.63,8;1;10;5;6,-94.25;-95.88;-99.0;-100.75;-104.63,5.13;5.5;0.63;-1.88;-1.63
-192.7,2269.94,75,2,-92.88,8.75,8;1;10;5;6,-94.25;-96.38;-99.0;-99.75;-104.88,5.5;2.88;-0.75;-2.25;-3.0
-193.66,2285.06,75,2,-95.63,7.25,8;1;10;5;6,-95.88;-97.13;-99.38;-99.88;-104.25,4.5;3.0;0.5;-1.0;-1.5
-194.1,2300.62,75,2,-96.38,6.13,8;1;5;10;6;12,-95.75;-96.75;-100.13;-100.25;-103.75;-113.88,5.25;3.13;-0.63;-0.38;-1.75;-9.5
-194.81,2316.49,75,2,-95.0,8.13,1;8;10;5;6,-96.13;-98.25;-100.63;-100.88;-107.38,4.63;2.5;-0.5;-1.88;-4.88
-195.56,2331.65,75,2,-95.0,9.63,1;8;10;5;12,-94.88;-97.88;-100.25;-100.88;-107.13,6.25;2.75;-0.63;-1.38;-6.75
-196.37,2346.76,75,2,-96.5,8.13,1;5;8;10;12;6,-95.13;-98.63;-99.13;-99.5;-108.5;-110.38,6.38;1.0;0.75;0.38;-7.38;-7.13
-197.06,2361.79,75,1,-94.75,9.75,2;8;10;5,-98.88;-98.88;-99.75;-101.25,5.38;2.25;1.88;-0.13
-197.94,2376.92,75,1,-95.75,7.63,2;8;10;5;6;14,-98.0;-98.5;-100.0;-101.88;-108.25;-110.13,7.25;3.13;0.88;-1.0;-5.25;-7.0
-199.0,2391.48,75,1,-95.38,9.38,2;10;8;5;6;14,-94.63;-99.5;-101.5;-103.38;-107.0;-109.5,10.25;0.13;-1.13;-6.25;-4.38;-6.13
-199.46,2406.22,75,2,-94.38,10.0,1;8;6,-97.88;-101.88;-106.5,3.5;-3.0;-4.63
-199.91,2420.86,75,2,-94.25,11.25,1;10;8;6;14,-96.0;-102.38;-102.5;-104.38;-109.25,5.63;-2.75;-2.38;-1.25;-6.63
-192.79,2433.06,75,2,-93.88,10.75,1;8;6;10;5;12,-96.88;-101.0;-101.75;-104.0;-104.13;-106.75,3.88;-0.25;1.5;-4.25;-8.0;-7.13
-193.81,2447.81,75,2,-93.38,11.0,1;6;5;8;10;12,-96.13;-102.38;-103.13;-103.38;-104.75;-105.63,5.5;1.0;-6.38;-2.5;-5.75;-6.13
-194.82,2462.7,75,2,-93.25,10.75,1;5;6;8;10,-95.75;-101.88;-102.75;-104.88;-107.38,5.63;-6.0;0.5;-2.5;-7.75
-195.98,2477.37,75,2,-93.75,9.25,1;5;8;6;10;12,-97.13;-102.0;-103.63;-106.38;-106.75;-107.5,4.38;-5.0;-2.88;-3.13;-6.13;-6.63
-197.12,2492.02,75,2,-93.88,9.0,1;8;5;10;14;6,-98.13;-100.5;-103.5;-104.75;-106.75;-110.38,1.38;0.25;-7.0;-4.88;-3.13;-6.75
-198.12,2506.76,75,2,-91.63,12.13,8;1;5;10;6,-98.75;-99.13;-102.75;-105.0;-108.63,2.5;-0.25;-6.88;-6.0;-6.5
-199.71,2521.53,75,2,-91.88,10.38,1;8;6;10;5;12,-98.5;-98.75;-104.75;-106.5;-106.88;-108.13,1.0;1.75;-2.5;-6.88;-7.25;-7.5
-200.63,2536.09,75,2,-92.0,9.63,1;8;6;10;14,-99.38;-99.5;-104.25;-106.38;-107.63,-0.25;0.88;-2.13;-6.13;-7.13
-201.58,2550.68,75,2,-92.0,8.63,1;8;5;6;10;14;12,-99.75;-99.88;-103.63;-104.0;-105.88;-106.0;-106.5,0.0;1.5;-6.5;-2.38;-6.0;-5.13;-6.0
-202.51,2565.56,75,2,-91.25,8.63,8;1;5;6;10;12;14,-99.25;-101.13;-103.13;-103.38;-105.25;-106.63;-108.25,2.13;-2.25;-5.63;-1.13;-4.5;-6.0;-7.25
-203.83,2580.0,75,2,-90.75,8.5,8;5;1;10;14;12;6,-99.25;-101.38;-101.5;-104.25;-105.38;-105.38;-105.63,2.63;-5.63;-2.88;-4.5;-5.5;-5.5;-4.5
-204.94,2595.05,75,2,-90.88,7.88,8;5;1;10;6;12,-100.13;-100.63;-102.38;-104.13;-104.63;-105.25,0.88;-3.25;-2.5;-3.75;-4.88;-4.13
-205.54,2610.35,75,2,-91.0,8.0,1;8;5;10;12;6,-100.38;-100.88;-101.13;-104.75;-104.88;-104.88,0.38;0.0;-3.13;-2.63;-3.38;-4.75
-206.2,2625.31,75,2,-91.38,7.25,1;8;5;12;6;10,-101.13;-102.13;-103.13;-105.5;-106.25;-108.0,-0.13;-0.25;-4.25;-4.25;-3.0;-6.25
-207.01,2640.23,75,2,-91.5,7.13,1;8;5;6;12;14;10,-100.75;-103.13;-103.25;-105.75;-107.38;-108.38;-110.13,0.38;-1.0;-3.38;-1.88;-6.25;-6.75;-7.38
-208.35,2657.84,75,2,-91.5,7.38,1;5;8;6;12;10,-100.5;-103.0;-104.5;-104.88;-107.75;-110.5,1.0;-4.75;-2.88;-5.0;-6.38;-7.13
-208.63,2672.37,75,2,-92.0,7.0,1;5;6;8;10,-100.5;-103.63;-104.75;-105.0;-111.38,2.0;-4.63;-5.38;-3.13;-7.13
-208.74,2686.6,75,2,-91.25,7.63,1;5;8;13;6;10;21,-102.63;-103.5;-104.75;-104.75;-105.0;-111.38;-112.13,-0.88;-5.5;-2.25;-2.75;-5.75;-6.5;-6.5
